scenario,attr1,attr2,attr3,attr4,attr5,cut1,cut2,cut3,cut4,cut5
moka_pot,66,1,-74,0,-66,0,0,0,51,0
headphones,40,-84,-100,0,-16,0,0,0,52,0
callus_remover,-45,100,-24,-77,0,0,0,0,0,58
car_mat,0,1,-100,-38,-91,36,0,0,0,0
landmark,0,-1,-4,-49,-100,30,0,0,0,0
golf_umbrella,100,38,0,25,48,0,0,39,0,0
colander,51,0,100,73,37,0,32,0,0,0
tow_strap,-100,82,0,-20,56,0,0,43,0,0
marker,-96,-27,100,0,-74,0,0,0,39,0
mosquito_net,27,100,0,-51,-41,0,0,64,0,0
monitor,19,-55,0,-77,100,0,0,32,0,0
chaise_lounge,-75,0,-13,-32,46,0,57,0,0,0
swimsuit,-83,-100,0,68,69,0,0,53,0,0
flower_seeds,-33,100,-40,-70,0,0,0,0,0,60
foot_soak,0,100,-11,89,37,31,0,0,0,0
table_lamp,-100,54,-98,0,-27,0,0,0,32,0
flashlight,63,-87,-63,18,0,0,0,0,0,42
earmuffs,-32,0,-91,52,-100,0,64,0,0,0
pottery_wheel,0,-10,100,0,11,30,0,0,0,0
canoe,-9,0,86,-32,100,0,37,0,0,0
dress_shoes,-80,0,32,78,67,0,34,0,0,0
incense,-24,100,0,34,22,0,0,47,0,0
camcorder,-39,-5,-88,-70,0,0,0,0,0,56
spiralizer,-99,-82,-24,100,0,0,0,0,0,49
quilt,100,73,-58,0,48,0,0,0,47,0
pillow,26,0,-100,23,45,0,58,0,0,0
popcorn_maker,0,-100,-82,69,28,36,0,0,0,0
steering_wheel_cover,-23,100,-1,0,-79,0,0,0,46,0
camp_shower,-81,-100,-9,0,-42,0,0,0,64,0
mortar_pestle,-88,-3,0,100,68,0,0,60,0,0
whiteboard,0,-42,-100,-55,51,37,0,0,0,0
tutor,-47,71,0,100,-64,0,0,36,0,0
pants,-28,-100,26,-30,0,0,0,0,0,68
ergonomic_keyboard,0,25,-63,-9,-31,54,0,0,0,0
3d_resin,-34,26,-100,0,85,0,0,0,31,0
skateboard,0,-27,2,-41,84,62,0,0,0,0
lunchbox,45,-14,100,0,-14,0,0,0,34,0
fondue_pot,2,39,-100,0,94,0,0,0,70,0
board_game,-100,44,6,0,-70,0,0,0,64,0
scarf,63,100,-54,-1,0,0,0,0,0,70
inhaler,94,-71,0,64,-100,0,0,32,0,0
led_strip,100,12,0,57,-23,0,0,52,0,0
membrane_keyboard,-45,-54,5,100,0,0,0,0,0,64
pool_float,100,0,-56,-67,42,0,63,0,0,0
trash_bag,53,100,87,0,28,0,0,0,65,0
butter,100,0,62,-77,-19,0,32,0,0,0
pantyhose,-48,82,0,71,-91,0,0,45,0,0
deck_box,88,40,100,0,72,0,0,0,40,0
salad_bowl,-61,-100,-90,-76,0,0,0,0,0,62
antiseptic,50,0,94,93,-64,0,34,0,0,0
fish,0,-52,-75,-69,41,33,0,0,0,0
leggings,0,73,70,24,54,61,0,0,0,0
sleeping_pad,-58,-54,-29,0,-100,0,0,0,57,0
charger,90,-54,0,-87,95,0,0,43,0,0
dice_tray,74,0,66,-91,-36,0,36,0,0,0
outdoor_tv,0,100,-61,-53,27,51,0,0,0,0
screen_tent,0,62,-76,100,49,59,0,0,0,0
sketch_pens,-7,38,-35,58,0,0,0,0,0,35
heat_tool,-77,-100,69,0,52,0,0,0,49,0
frame,30,100,-27,85,0,0,0,0,0,42
fabric_softener,-100,0,-68,66,-42,0,46,0,0,0
teething_toy,0,48,-100,-10,56,59,0,0,0,0
rc_helicopter,100,-27,-73,0,-1,0,0,0,30,0
split_keyboard,100,-32,72,0,-35,0,0,0,55,0
fabric_shaver,0,100,88,-6,95,62,0,0,0,0
muscle_rub,-8,0,94,100,-74,0,47,0,0,0
soundbar,-76,-45,-24,100,0,0,0,0,0,60
baby_monitor,0,28,50,-48,11,54,0,0,0,0
television,-99,0,43,100,43,0,55,0,0,0
travel_package,-75,0,5,89,-100,0,55,0,0,0
phone_magnifier,-26,100,99,0,-74,0,0,0,68,0
coffee_scale,-11,43,0,-100,-62,0,0,42,0,0
bandage,-85,-100,0,-67,37,0,0,32,0,0
trivet,42,1,-74,76,0,0,0,0,0,34
sunscreen,0,-50,93,-73,-100,67,0,0,0,0
espresso,15,67,-47,100,0,0,0,0,0,30
scaffolding,0,93,-34,1,29,43,0,0,0,0
modem,73,64,0,-100,93,0,0,63,0,0
toboggan,98,-100,-18,72,0,0,0,0,0,42
cable,-79,0,18,79,52,0,66,0,0,0
oil_dispenser,4,-100,66,90,0,0,0,0,0,42
coffee_beans,0,-37,58,-4,100,53,0,0,0,0
cornhole_set,0,-52,49,-100,-4,45,0,0,0,0
comb,0,-100,-90,-99,26,36,0,0,0,0
apron,-65,63,-100,0,31,0,0,0,33,0
dehumidifier,0,44,-100,26,-41,58,0,0,0,0
cough_syrup,-42,30,-77,-32,0,0,0,0,0,50
kamado,-40,16,0,96,100,0,0,61,0,0
oven_mitt,0,-68,-67,59,100,70,0,0,0,0
salad_spinner,100,-92,6,15,0,0,0,0,0,65
patio_furniture,0,-100,72,-26,-12,60,0,0,0,0
melon_baller,75,0,64,23,-100,0,54,0,0,0
can_opener,-38,100,87,7,0,0,0,0,0,36
changing_table,0,-14,18,95,-79,40,0,0,0,0
noodles,-69,-2,0,-69,-23,0,0,60,0,0
chocolate,0,100,93,-73,-80,30,0,0,0,0
straightener,76,67,23,0,100,0,0,0,37,0
lock,1,-100,0,46,-47,0,0,63,0,0
battery,29,-55,0,-100,49,0,0,55,0,0
